language	语言
rules_jackpot_content2	根据截至当日的以太坊平均汇率，$1的Fire Lotto彩票头奖奖金保证最低至少有$2美元。如果头奖奖金低于保证的最低头奖金额，将用储备基金补偿差额。之后，所有原计划用于未来抽奖头奖奖金的资金将先被用来补充储备基金。最初的储备基金的资金来源为头奖奖金以及组织者提供的资金。
rules_prize_pool	奖池
rules_prize_pool_content	每次抽奖的奖池根据该次抽奖的70％的销售额计算。基于彩票中匹配号码的数量，根据以下图表分配奖池。
prize_pool_distribution	奖池分配
rules_prize_pool_content2	在第$1类中，总和除以该类别中的赢家人数。如果没有赢家，则将该金额总和转至下一次抽奖的头奖奖池中。
rules_prize_pool_content3	.
draw_rised_funds	一次抽奖的彩票销售量
category_winners_count	类别赢家的数量
rules_frequency	频率
rules_frequency_content	每24小时举行一次抽奖。本次抽奖的时间在彩票上有显示。彩票在抽奖前1小时结束售卖。此后，任何购买的彩票将用于下一次抽奖。
rules_pay_winnings	奖金支付
rules_pay_winnings_content	抽奖后，系统会自动将以太坊中的奖金转账至用于购买该获奖彩票的加密货币钱包中。交易费用（gas费用）将以彩票的形式支付。将资金转移至获奖的加密货币钱包中需要30分钟到几个小时不等。
rules_tax	税
rules_tax_content	Fire Lotto不提供税务代理服务。获得奖金的加密货币钱包的所有者承担交税责任。
rules_agreement	协议
rules_agreement_content	参与彩票购买即代表您已同意相关彩票规则，并保证您年满18周岁，并/或满足您的居住国家购买彩票的法定最低年龄限制。
next	下一个
skip_tutor	跳过教程
imtoken1_1	1.打开imToken应用程序
imtoken1_2	2.选择你的ETH钱包
imtoken1_3	3.点击“发送”按钮
imtoken1_4	4.点击“高级”开关
imtoken1_5	5.填写交易表格（所有字段均为必填项）：
imtoken1_to_address	收货人地址
imtoken1_amount	量
imtoken1_gas_price	Gas Price
imtoken1_gas_limit	Gas
imtoken1_data	数据
imtoken1_6	完成后，点击“下一步”。 然后点击“确认”按钮。
imtoken1_7	交易完成后，门票将出现在$1中。
imtoken1_8	胜利将自动归功于您的imToken钱包。
